Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
DOMAINE DE MONTGILET ANJOU ROUGE 2017,ROUGE,ANJOU ROUGE,13.0,DOMAINE DE MONTGILET,FRANCE,9.0,6,6,6,0,"Rouge grenat, reflets rosés","Fruits rouges frais, framboise, ligérien","Enveloppant, frais, tanins souples","Viande rouge, Barbecue, Burger","Créé en 1880, le domaine de Montgilet est aujourd'hui tenu par Victor et Vincent Le Breton. Figures de l’Anjou et reconnus nationalement, les deux frères élaborent des vins de plusieurs appellations de la Loire. La cuvée Anjou est élaborée à partir du Cabernet Franc, appelé justement le ""Breton"" dans la Loire et de Cabernet Sauvignon.
Un vin fin, avec une jolie structure qui pourra facilement vieillir 3 ou 4 ans en cave. Juste équilibre entre le fruité et le charnu, cette cuvée régale les cuisiniers qui peuvent l’accorder avec une large palette de viandes.",https://vandb.fr/domaine-de-montgilet-anjou-rouge-2017.html
CHARLES MÉREUIL BLANC DE NOIRS,EFFERVESCENT BLANC,CHAMPAGNE,12.0,CHARLES MÉREUIL,FRANCE,31.9,6,8,8,4,"Jaune doré, reflets dorés, cordons fins","Toasté, fruits secs, nougat","Puissant, vineux, complexe","Dessert fruité, Viande rouge, Viande blanche, Charcuterie","Le mystérieux Charles Méreuil, reconnaissable à son chapeau haut-de-forme et à son monocle, était dans les années 1850 la personnalité la plus influente de la Marne. Gentleman par excellence, il ne supporta pas de voir sans cesse faner la fleur qui ornait sa boutonnière et inventa la fleur artificielle. Il fit fortune lorsque son invention fut déclinée sous toutes les formes et toutes les plantes. On en retrouve d'ailleurs encore aujourd'hui dans les magazines de déco.
Quel rapport avec le Champagne me diriez-vous ? Et bien malgré sa richesse, Charles resta un homme de partage et organisait toutes les semaines des banquets où le Champagne coulait à flots. Son préféré était le blanc de noirs, puissant et charnu mais à la texture douce, qu'il aimait associer aux mets de caractère : gibiers, plats de volaille, champignons... En hommage à cet homme généreux, qui mit les coupes de champagne entre toutes les mains, V and B a reproduit des années après sa bouteille fétiche. Un blanc de noirs raffiné mais accessible.",https://vandb.fr/charles-mereuil-blanc-de-noirs.html
CHÂTEAU AURORE BORDEAUX ROUGE 2018,ROUGE,BORDEAUX,14.0,VIGNOBLES INVINDIA,FRANCE,9.95,6,4,4,0,"Rouge foncé, reflets violets","Expressif, fruits noirs, épices","Harmonieux, juteux, suave",,"Bordeaux est une région phare de la viticulture en France, elle compte des terroirs et des vins parmi les plus réputés au monde. La tradition viticole y est très forte, et cette région cherche aujourd'hui à se moderniser et casser une image parfois poussiéreuse.
Ce Château Aurore est issu du domaine du même nom. Implanté dans la région de l'entre-deux-mers, ce domaine est cultivé en agriculture biologique. On retrouve tout ce qui fait le succès des bons vins de Bordeaux, avec une élégance bordelaise typique, le tout dans un respect de la vigne et un profil plus moderne. Aurore à l'avantage de pouvoir se déguster à merveille dès maintenant, mais aussi de patienter quelques années en cave.
Une jolie bouteille de vin rouge à déposer sur la table de tous vos repas entre amis, ou en famille. Elle saura sublimer votre repas et ces moments uniques.",https://vandb.fr/chateau-aurore-bordeaux-rouge-2018.html
CHÂTEAU EUGÉNIE CUVÉE RÉSERVÉE DE L'AÏEUL ROUGE 2016,ROUGE,CAHORS,14.0,CHÂTEAU EUGÉNIE,FRANCE,15.1,6,4,8,4,"Rouge grenat, belle densité","Fruits rouges matures, sous bois","Fruits rouges, cèpe, belle structure","Viande rouge, Agneau, Gibier, Fromage corsé","Le château Eugénie est un domaine familial ancré depuis de très longues années dans la région de Cahors.
Eugénie était l'arrière-arrière-grand-mère des actuels vignerons, c'est elle qui a donné son nom au château.
La cuvée réservée de l'Aïeul provient des plus vieilles vignes du vignoble, plantées par leur arrière-grand-père. Un véritable hommage avec ce Malbec authentique, généreux et au caractère bien trempé.
Un élevage de 18 mois en barrique lui apporte des arômes de bois précieux, on découvre également des fruits noirs rôtis et des épices comme le paprika. Des tanins légèrement granuleux lui offrent une matière idéale pour la garde, mais rien ne vous empêche de le déguster dès a présent après un temps de carafage.",https://vandb.fr/chateau-eugenie-cuvee-reservee-de-l-aieul-rouge-2016.html
VIGNOBLES MARRENON GRAND MARRENON LUBERON ROUGE 2017,ROUGE,LUBÉRON,14.5,VIGNOBLES MARRENON,FRANCE,11.2,6,4,6,4,"Rouge violine dense, reflets rosés","Aromatique, fruits concentrés, toasté","Soutenu, gras, ronds","Viande rouge, Viande blanche, Gibier, Fromage corsé","Marrenon est un des producteurs référents du Luberon. Entre Rhône et Provence, le vignoble bénéficie d'un climat doux méditerranéen et d'une altitude idéale pour concentrer les arômes. Un terroir quasiment unique, que les vignerons s'attachent à préserver.
Des cuvées d'exception naissent dans les chais de la maison Marrenon. C'est le cas de ce vin, très concentré, autant sur la couleur que sur les arômes. Un nez expressif et flatteur de fruits confiturés et de tabac blond. La bouche est ample et soutenue, les tanins sont présents mais bien structurés et pas du tout agressif. Un passage en bois lui apporte des notes caractéristiques qui séduiront les amateurs de vins de Bordeaux souhaitant découvrir le Rhône.",https://vandb.fr/vignobles-marrenon-grand-marrenon-luberon-rouge-2017.html
RUINART BRUT ROSÉ,EFFERVESCENT ROSÉ,CHAMPAGNE,12.5,RUINART,FRANCE,68.9,8,6,6,0,"Rouge pétale de rose, cordon élégant","Coulis de fruits rouges,","Vineux, croquant, classieux","Plats épicés, Fruits de mer, Poisson, Apéro, Dessert fruité","Presque 300 ans que la maison Ruinart fut fondée, née de l'esprit visionnaire d'un moine bénédictin : Dom Thierry Ruinart, c'est son neveu, Nicolas Ruinart qui créa la toute première maison de champagne en 1729.
Précurseurs de nombreuses techniques, comme celle de faire vieillir le champagne en crayères, la famille Ruinart élabora le tout premier champagne rosé de l'histoire. Un assemblage parfaitement équilibré entre la fraîcheur du chardonnay, cépage phare de la maison, la puissance vineuse et le charnu du pinot noir.
Un jus fin, élégant, au nez subtil de fruits rouges fraîchement cueillis dans lesquels se mêlent des notes florales et épicées de tonka et de noix de muscade. Si plus de 250 ans nous séparent de la naissance du tout premier rosé de Ruinart, la cuvée a évolué avec son temps et s'accordera sans difficulté avec des plats modernes aux saveurs sophistiquées : un tataki de bœuf, un gaspacho andalou, des gambas thaï ou même un macaron aux fruits.",https://vandb.fr/ruinart-brut-rose.html
MANUEL OLIVIER HAUTES CÔTES DE NUITS BLANC 2018,BLANC,HAUTES CÔTES DE NUITS,13.5,MANUEL OLIVIER,FRANCE,18.5,6,6,6,4,"Jaune or vert, limpide et brillant","Fruité, généreux, légèrement boisé","Élégant, gras, équilibré","Viande blanche, Fromages, Poisson grillé","La région de la Côte de Nuit est celle où l'on trouve les plus grands crus de Bourgogne. Les Hautes Côtes de Nuits bénéficient d'un terroir situé entre 300 et 400 mètres d'altitude, ces vignes, plus en hauteur s'épanouissent dans un environnement plus sauvage.
Le Domaine Manuel Olivier est un petit domaine de Bourgogne, 11 Ha dispersés, comme c'est la coutume là-bas, sur plusieurs appellations. On y trouve des AOC plus génériques comme ce Hautes Côtes de Nuits mais aussi des climats implantés sur des régions très prestigieuses, Pommard 1er cru, Meursault 1er cru et même Clos Vougeot.
La région Hautes Côtes de Nuits est surtout connue pour ses vins rouges. Mais les blancs sont également d'une qualité remarquable et ce vin en est le parfait exemple. On y trouve une touche boisée, qui apporte un peu de gras à ce vin, mais le plus marquant de cette cuvée est l'ampleur du Chardonnay et cette finale sur la minéralité et la puissance du cépage.",https://vandb.fr/manuel-olivier-hautes-cotes-de-nuits-blanc-2018.html
TERRABIANCA BRICHET DOLCETTO D'ALBA 2018,ROUGE,ITALIE,13.5,AZIENDA AGRICOLA TERRABIANCA,ITALIE,9.0,6,4,4,0,"Rouge pourpre profond, reflets rosés","Fruits noir, tapenade, garrigue","Ample, persistant, méditerranéen","Viande rouge, Viande blanche, Desserts chocolatés, Salade de saison","Partons en Italie, du coté du Piémont, au Nord-Ouest. Le vignoble se situe à 550 m d'altitude et exposé au Nord, là où le climat, plus froid, est parfait pour obtenir des vins plus légers. Le dolcetto, ""petit doux"" en italien, tire son nom de son caractère très peu acide. On le reconnait à ses arômes de fruits noirs : myrtilles, mûres, cassis et à ses notes d'amande et de réglisses, qui lui confèrent une amertume caractéristique. Les meilleurs dolcettos, qui vont produire les vins les plus concentrés proviennent de la région d'Alba.
Le Dolcetto d'Alba fait partie des 7 appellations du Piémont. C'est un vin conçu pour être bu dans sa jeunesse, sur des grillades, une pizza, des pâtes, ou comme le font les italiens, sur des desserts.",https://vandb.fr/terrabianca-brichet-dolcetto-d-alba-2018.html
PETIT JAMMES CAHORS ROUGE 2017,ROUGE,CAHORS,13.0,CHÂTEAU PECH DE JAMMES,FRANCE,11.4,8,6,6,0,"Rouge grenat, reflets rosés","Fruits noirs concentrés, épices, toasté","Rond, équilibré, suave","Viande rouge, Barbecue, Plats épicés, Charcuterie, Tapenade d'olives noires","Petit Jammes est une cuvée issue de la collection capsule Château Pech de Jammes. C'est sur ce vignoble confidentiel de 5 hectares que Bertrand-Gabriel Vigouroux a élaboré une gamme de vins gourmands et séduisants.
Les vignes du château poussent sur un sol en tous points égal à celui de certains grands crus bourguignons. Un terroir qui convient parfaitement au malbec et qui va lui apporter de la finesse et de l'élégance. L'exposition plein sud des coteaux permet aux baies de raisin d'atteindre une pleine maturité et offre aux vins des arômes de fruits noirs concentrés. Petit Jammes est rond et équilibré, compagnon inattendu de l'apéritif et des dîners sans prises de tête. Un plateau de charcuterie ? Ne le tentez pas, il adore ça.",https://vandb.fr/petit-jammes-cahors-rouge-2017.html
DE CHANCENY CRÉMANT DE LOIRE BLANC BRUT,EFFERVESCENT BLANC,CRÉMANT DE LOIRE,12.5,VIGNERONS DE SAUMUR,FRANCE,8.1,8,8,4,0,"Jaune dorée, reflets verts","Acacia, poire, agrumes frais","Crémeux, onctueux, frais","Tarte sucrée, Apéro, Fromages, Dessert fruité","Né sur les sols calcaires et crayeux de tuffeau dans le Saumurois, le Crémant de Loire brut De Chanceny est élaboré par la cave de Robert et Marcel, anciennement Cave Coopérative des Vignerons de Saumur.
Cette cuvée est un assemblage entre la fraîcheur et les fleurs blanches du chenin, l'élégance et le fruité du chardonnay et le cabernet qui apporte sa pointe de fruits rouges. Après un repos en cave troglodyte, une particularité des vignobles de Loire, qui offre une température et une humidité quasi constantes, le vin va trouver son équilibre final sans stress. Il en résulte une jolie cuvée, onctueuse et délicate, qui sublimera tous vos moments de plaisirs gustatifs.",https://vandb.fr/de-chanceny-cremant-de-loire-blanc-brut.html
CHÂTEAU HAUT MOUSSEAU CÔTES DE BOURG 2016,ROUGE,CÔTES DE BOURG,13.0,VIGNOBLE BRIOLAIS,FRANCE,8.9,8,6,6,4,"Rouge grenat, reflets violets","Cerise noir, vanille","Charnu, juteux, tanins fondus","Viande blanche, Charcuterie, Burger","Le relief de cette appellation du nord de Bordeaux lui vaut le surnom de ""Petite Suisse Grondine"". L'AOC Côtes de Bourg, située sur la rive droite de la région bordelaise est méconnue par les amateurs de vins, moins parlante que ses voisines bordelaises elle n'en reste pas moins une appellation qui sait mettre en valeur la gourmandise du Merlot, le cépage roi de cette rive.
Le Château Haut Mousseau est l'un des vignobles de la Famille Briolais, célèbre famille vigneronne et fervente représentante du savoir faire médocain.
Ce millésime 2016 est le miroir parfait de ce qu'a offert cette belle année dans le bordelais. Une cuvée où le Merlot est dominant mais finement accompagné par le cabernet sauvignon est une vision très gourmande du bordelais, avec un vin charnu avec des tanins bien fondus.",https://vandb.fr/chateau-haut-mousseau-cotes-de-bourg-2016.html
CHÂTEAU PAILHAS SAINT EMILION GRAND CRU ROUGE 2014 #,ROUGE,SAINT EMILION GRAND CRU,14.0,ROBIN LAFUGIE,FRANCE,20.6,6,4,6,6,Rouge rubis,"Boisé, fruits rouges, réglisse","Tannique, épicé, fruits rouges, bois",,"Les vignobles Robin Lafugie sont le fruit d'une histoire familiale de plus de deux siècles. Cette maison a su se développer dans la région libournaise et s'appuie sur son expérience pour respecter la devise qui est la sienne depuis le 19ème siècle.
Saint-Émilion est une des références mondiales des vins d'exception. Son passé viticole, sa maîtrise unique et ses vignerons talentueux sont la raison de cette aura. La différence entre Saint-Émilion et Saint-Émilion Grand Cru tient à un cahier des charges plus exigeant pour la seconde appellation, la zone géographique restant la même.
Ce Château Pailhas est issu de vignes en pied de coteaux qui jouissent d'un terroir d'exception. Fidèle à l'exigence des grands vins de l'appellation, ce millésime 2014 est une jolie cuvée, avec une structure intéressante, une bouche avec du fruit, une bonne intégration du vieillissement en fût et des tanins harmonieux, qui laissent entrevoir un beau potentiel de garde.",https://vandb.fr/chateau-pailhas-saint-emilion-grand-cru-rouge-2014-.html
CHÂTEAU CÔTES DE SAINT-CLAIR PUISSEGUIN SAINT-ÉMILION 2016,ROUGE,PUISSEGUIN SAINT EMILION,13.0,CAVE LUSSAC ET PUISSEGUIN,FRANCE,11.3,6,6,6,2,"Rouge grenat, reflets orangés","Fruits rouges mûrs, épice,","Rond, doux, tanins soyeux",,"Puisseguin Saint-Émilion est l'une des appellations satellite de la fameuse Saint-Émilion. Cette petite appellation est située en face du plateau de Saint-Émilion, elle y fait la part belle au petit producteur, à des artisans vignerons, c'est un terroir à découvrir, pour la palette de vins qu'il propose et pour sa singularité.
Le Château Côtes Saint-Clair est un domaine familial, à taille humaine, de 10 Ha.
Cette cuvée vous permet de découvrir des vins typiques de la région de Saint-Émilion, à un prix plus doux. On redécouvre avec ce vin corsé, puissant et racé, la lignée des grands vins de la rive droite.",https://vandb.fr/chateau-cotes-de-saint-clair-puisseguin-saint-emilion-2016.html
DOMAINE SORDET POMMARD 2017,ROUGE,POMMARD,13.0,DOMAINE SORDET,FRANCE,43.9,6,8,8,4,"Robe rouge rubis profond, reflets rosés","Cassis frais, épicé, petits fruits rouges","Dense, tanins fermes, enveloppé","Plats épicés, Viande rouge, Agneau","Pommard a été apprécié à travers les époques par différents rois de France, mais aussi des personnages illustres tel que Victor Hugo, ce qui a contribué à bâtir cette renommée actuelle.
Le domaine de Sordet est l'un des anciens domaines de la région qui entoure ce petit village de 550 âmes et appartient à la même famille depuis 1793, rien que ça.
Ce Pommard a tout ce que l'on peut attendre d'un grand vin bourguignon. Le Pinot Noir s'exprime à merveille, des notes épicées, mais surtout une bouche riche, qui sera un peu ferme dans la jeunesse du vin mais qui prendra de l'ampleur après quelques années en cave. Un beau vin de garde, une grande cuvée.",https://vandb.fr/domaine-sordet-pommard-2017.html
CHAMPAGNE KRUG GRANDE CUVÉE EDITION 166,EFFERVESCENT BLANC,CHAMPAGNE,12.0,DOMAINE KRUG,FRANCE,185.0,8,6,8,4,"Jaune doré, reflets intenses","Fruits du verger, pain d'épices, floral","Raffiné, fuselé, ample","Viande blanche, Fruits de mer, Poisson, Dessert fruité","Le fondateur de la maison Krug, Joseph Krug n'est pas issu du milieu vigneron, mais développe très vite une fascination pour le Champagne. Il fait tout d'abord ses armes chez Jacquesson et pendant des années, il cherche à comprendre l'impact des aléas du temps sur la qualité des Champagnes et ce qui fait que certaines années sont meilleures que d'autres.
A 42 ans, il fonde sa propre maison avec pour objectif de s'affranchir des contraintes climatiques pour produire chaque année des Champagnes de hautes volées.
Aujourd'hui encore, les descendants de Joseph Krug tiennent la maison. Ils s'attachent à produire des cuvées dans le style historique Krug : des Champagnes élevés en fût, vineux, racés et complexes, destinés à la table.
La Grande Cuvée est la signature de la maison Krug. A la fois fin et ample, mature et frais, un Champagne composé avec la même finesse qu'un prestigieux flacon de parfum par le chef de cave Eric Lebel.",https://vandb.fr/champagne-krug-grande-cuvee-edition-166.html
BOIS DE POURQUIÉ CÔTES DE BERGERAC MOELLEUX 2016,BLANC MOELLEUX,CÔTES DE BERGERAC,12.0,DOMAINE DU BOIS DE POURQUIE,FRANCE,9.0,8,6,4,0,"Robe jaune pâle, reflets dorés","Zeste de citron, pêche de vigne, miel","Subtil, sucré, riche","Foie gras, Apéro, Dessert fruité, Fromage à pate persillée","Bergerac est une très proche voisine de la région bordelaise, elle a longtemps vécu dans l'ombre de cette géante du vin en France. Place maintenant à l'émancipation et à l'affirmation de son identité, où vin blanc et vin rouge sont réalisés dans des proportions égales.
Le domaine du Bois de Pourquié c'est avant tout une belle histoire de famille qui dure depuis plus de 150 ans. Le moins que l'on puisse dire c'est qu'après tant d'année c'est que la famille Mayet maîtrise son sujet à la perfection.
Ce côtes de Bergerac est fait pour les amateurs de vins moelleux qui cherchent des alternatives aux Sauternes et autres moelleux qui ne sont pas à la portée de toutes les bourses. Une cuvée gourmande, sans trop d'opulence, à boire frais pour savourer cette équilibre entre sucrosité et légère vivacité qui rend plus aérien ce vin. Une fois dégusté, vous y reviendrez forcément !",https://vandb.fr/bois-de-pourquie-cotes-de-bergerac-moelleux-2016.html
DOMAINE CORNU VIEILLES VIGNES ALOXE CORTON ROUGE 2017,ROUGE,ALOXE CORTON,13.0,DOMAINE CORNU & FILS,FRANCE,40.9,6,8,10,6,"Fruit rouge cerise, reflets rosés","Griottes confites, moka, poivre blanc","Dense, aérienne, tanins satinés","Viande rouge, Gibier, Plats épicés","Aloxe Corton fait partie de ces nombreuses appellations communales de la Bourgogne et plus particulièrement ici de la Côte de Beaune. Ces AOC communales sont limités dans leur taille, ce qui fait la rareté et la difficulté à trouver ces bouteilles.
La famille Cornu connait particulièrement les grands terroirs de Bourgogne, leur 40 Ha sont implantés sur certaines des plus belles zones de Côte de Beaune: Ladoix, Savigny-lès-Beaune, Corton grand cru, Pernand-Vergelesses... On a là des experts de la finesse et l'élégance bourguignonne.
Ces vieilles vignes sont un équilibre parfait entre puissance et élégance, où le Pinot Noir bourguignon exprime tout son caractère. À mettre dans les mains des connaisseurs de grands vins !",https://vandb.fr/domaine-cornu-vieilles-vignes-aloxe-corton-rouge-2017.html
CAVE DU MARMANDAIS MURETS DE MEZ ROUGE 2017,ROUGE,BORDEAUX,12.5,CAVE DU MARMANDAIS,FRANCE,4.8,6,6,4,2,"Rouge profond, reflets rosés","Fruits noirs simples, cacao","Équilibré, convivial, facile","Charcuterie, Tapas, Barbecue, Burger","Bordeaux est une appellation en pleine transformation, longtemps la référence pour les amateurs de vins, elle cherche à retrouver cette place de numéro 1. Pour cela elle peut s'appuyer sur sa notoriété, son savoir-faire et sur les amoureux de cette région viticole.
La Cave du marmandais est une cave coopérative de la région éponyme. Située au sud de Bordeaux, la coopérative met en lumière les vins de la région mais également ceux de Bordeaux en général.
Ce Murets de Mez est une cuvée facile, accessible aussi bien en prix qu'au niveau du palais lors de la dégustation. On y retrouve un vin avec de la matière, bien équilibré, parfait pour des moments de partage simples.",https://vandb.fr/cave-du-marmandais-murets-de-mez-rouge-2017.html
DE CHANCENY CRÉMANT DE LOIRE ROSÉ,EFFERVESCENT ROSÉ,CRÉMANT DE LOIRE,12.5,VIGNERONS DE SAUMUR,FRANCE,8.1,8,8,4,0,"Rose saumon, reflets rosés","Cerise écrasée, bonbon anglais, fruits des bois","Frais, acidulé, croquant","Tarte sucrée, Apéro, Tapas, Dessert fruité, Desserts chocolatés","Les fines bulles rosés de De Chanceny nous viennent de la cave des Vignerons de Saumur. L'histoire des vins de la région est très liée à celles des châteaux de la Loire, la plupart étant construits en tuffeau, une pierre crayeuse et calcaire. C'est à la renaissance que des carrières furent creusées pour extraire cette pierre, donnant naissance à des caves qui se révélèrent parfaites pour l'élevage du vin.
C'est sur ce terroir qu'est cultivé le typique cabernet franc, qui compose la cuvée rosé De Chanceny. Un Crémant de Loire séducteur aux arômes intenses de fruits frais, tout en subtilité. LA cuvée qui fera plaisir à la personne aimée, sa moitié, sa maman, un ou une meilleur(e) ami(e)...",https://vandb.fr/de-chanceny-cremant-de-loire-rose.html
CHÂTEAU COUCHEROY PESSAC LÉOGNAN ROUGE 2017,ROUGE,PESSAC LÉOGNAN,12.5,CHÂTEAU DE COUCHEROY,FRANCE,16.2,6,6,6,4,Rouge rubis intense,"Fruits noirs, groseille, vanille légère","Dense, persistant, équilibré","Viande rouge, Gibier, Burger, Ribs","Pessac Léognan est une appellation située aux portes de Bordeaux, ses vignes jouxtent les communes du sud de l'agglomération. Cette aire d'appellation fait figure de petite nouvelle dans le paysage viticole de la région, en effet elle n'est reconnue que depuis 1987.
Le Château Coucheroy est le second vin du Château Rochemorin. Un domaine à l'histoire très singulière, qui a vu à sa tête un certain Charles Louis de Secondat, Baron de Montesquieu, grand philosophe des lumières et amateurs des grands vins de sa région et de son domaine. Dans les années 1970, c'est André Lurton, figure plus contemporaine du monde viticole bordelais qui reprend la propriété alors dans un état proche de l'abandon et lui redonna ses lettres de noblesse.
Ce Pessac Léognan est assez surprenant dans son approche, bien différent des vins que cette région produisait il y a encore peu, assez lourd et parfois trop boisé. On trouve ici une cuvée plus accessible, plus souple et équilibré. Un délice !",https://vandb.fr/chateau-coucheroy-pessac-leognan-rouge-2017.html
MAISON DELAS LES CHALLEYS ROUGE 2018,ROUGE,SAINT JOSEPH,13.5,MAISON DELAS,FRANCE,19.4,6,6,6,0,"Rouge grenat sombre, reflets violines","Epicé, fruits noirs, violette","Ample, corsé, tanins fondus","Viande rouge, Gibier, Barbecue, Fromages, Burger","Cultivé il y a des siècles par les moines, le vignoble de Saint Joseph était déjà très réputé en France et à l'international. Très apprécié des rois de France, notamment de Charlemagne et des Tsars Russes, ces vins sont très typiques des syrah septentrionales.
Le vignoble escarpé et bien exposé, au sol granitique va donner des vins généreux et volumineux. Delas, avec sa cuvée ""Les Challeys"", a cherché à assembler des jus provenant de l'ensemble de l'appellation Saint-Joseph pour obtenir des vins typiques, au caractère corsé. Des notes de petits fruits (fraises, framboises, cassis), des arômes légèrement boisés et épicés et une jolie structure tannique qui s'harmoniseront parfaitement avec la gastronomie de terroir. Il peut se garder en cave une dizaine d'années, mais n'hésitez pas à le carafer 2h avant de le déguster si vous souhaitez en profiter dès maintenant.",https://vandb.fr/maison-delas-les-challeys-rouge-2018.html
DOMAINE ETIENNE BOILEAU PETIT CHABLIS 2018,BLANC,PETIT CHABLIS,12.0,DOMAINE ETIENNE BOILEAU,FRANCE,13.7,6,10,4,0,"Jaune vert, reflets verts","Agrume, iodé, minéral","Tendu, souple, intense","Apéro, Fromages, Fruits de mer, Huitres","Issu du vignoble le plus septentrional de la Bourgogne, Petit-Chablis tient une place de choix parmi les vins blancs secs les plus populaires, aux cotés de son grand-frère le Chablis.
Bien qu'étant la plus jeune des AOC du chablisien, Petit-Chablis n'est en réalité pas si petite que ça puisque son aire d'appellation s'étend sur l'ensemble des villages de Chablis. On l'aime pour son côté moderne et son rapport qualité/prix exceptionnel.
Dans cette cuvée, Etienne Boileau met en avant le cépage Chardonnay dans une version plus froide et tendue. On retrouve des arômes d'agrumes et, bien que loin de la mer, le vin présente des notes iodées. N'hésitez pas à le déguster en apéritif avec des gougères au fromage, sur des plats traditionnels bourguignons ou sur des plats plus modernes comme des sushis.",https://vandb.fr/domaine-etienne-boileau-petit-chablis-2018.html
MOULIN DE LÈNE ZANZIBAR ROUGE 2018,ROUGE,CÔTES DE THONGUE,13.5,DOMAINE MOULIN DE LÈNE,FRANCE,6.95,8,4,4,0,"Rouge rubis, brillant,",Explosion de fruits rouges confiturés,"Élégant, gouleyant, épicé","Viande blanche, Barbecue, Burger, Tarte salée","Vous connaissez Moulin de Lène? Cette jolie propriété du sud de la France? Non? Embarquez avec nous et découvrez l'archipel !
La gamme Zanzibar a été imaginée par nos deux vignerons préférés. Des vins hauts en couleur, pour le plaisir de déguster et de passer des bons moments!
Sur le rouge, c'est un assemblage de syrah, grenache et merlot, élevé sur les coteaux du pays Biterrois qui vous apporte légèreté et facilité.
La macération a froid, rapide, vous apporte en bouche, du fruit, le merlot un peu de tanins et la syrah une finale un poil épicée.
Zanzibar sera parfait sur un burger cuit à la plancha. Belle dégustation!",https://vandb.fr/moulin-de-lene-zanzibar-rouge-2018.html
CHAMPAGNE DEUTZ ROSÉ,EFFERVESCENT ROSÉ,CHAMPAGNE,12.0,MAISON DEUTZ,FRANCE,53.2,8,6,6,2,"Fines bulles, rose saumon","Fruits rouges frais, toasté, pêche","Franche, délicate, classieuse","Apéro, Glace et sorbet, Dessert fruité, Poisson","La Champagne est la seule région de France où le cahier des charges autorise que l'on réalise un rosé en mélangeant tout simplement du vin blanc et du vin rouge. Nul ne sait si c'est la technique utilisée par la maison Deutz, qui est très, très secrète sur la réalisation de ses vins afin de conserver son style unique.
Ce ""style"" Deutz est celui, bien spécial de cette grande maison, une des plus importante de cette prestigieuse région, alliant une finesse que seul Deutz peut proposer.
Ce Champagne rosé est composé en majorité de Pinot Noir qui apporte sa vinosité mais est accompagné du chardonnay et de sa fraîcheur. Le résultat? On y retrouve un tourbillon de fruits, de fraîcheur et cette finesse caractéristique. Il n'y en a pas Deutz comme lui.",https://vandb.fr/champagne-deutz-rose.html
CHÂTEAU DE CARAGUILHES COCHON VOLANT ROSÉ 2019,ROSÉ,PAYS D'OC,12.5,CARAGUILHES,FRANCE,7.9,8,6,4,0,"Rose melon, reflets rosé","Fruits des bois ensoleillé, croquant","Rond, onctueux, avenant","Plats épicés, Apéro, Poisson grillé, Barbecue, Fromage de chèvre","Le Château Carguilhes a été établi dans les années 50 par un vigneron épris du terroir de Corbières. Il y a vu l'occasion de produire des vins authentiques, en employant des techniques douces, organiques et durables. Une philosophie incomprise à l'époque mais qui est encore aujourd'hui la ligne de conduite du château.
Cochon volant rosé est un assemblage de grenache et de cinsault, très gourmand et croquant en bouche. Ample, aux arômes de fruits rouges, c'est avant tout un vin de plaisir à servir pour l'apéritif, sur des tapas, du poisson grillé ou même des tomates farcies.
Un jus droit, net et avenant. Bien plus qu'un simple rosé d'apéro.",https://vandb.fr/chateau-de-caraguilhes-cochon-volant-rose-2019.html
DOMAINE DES NUGUES BEAUJOLAIS VILLAGES SANS SOUFRE 2018,ROUGE,BEAUJOLAIS VILLAGES,13.0,DOMAINE DES NUGUES,FRANCE,9.1,8,6,4,0,"Rouge rubis, reflets violacés","Fruits des bois, fraise écrasée, épices","Gouleyant, authentique, libéré","Charcuterie, Apéro, Fromages, Barbecue","La réputation du domaine des Nugues n'est plus à faire! Gilles et Magali Gelin sont convaincus du potentiel qualitatif de leurs terroirs et n'hésitent pas à sortir des sentiers battus. Ils produisent aujourd'hui certaines de leurs cuvées sans ajout de sulfite !
Au-delà d'être les premiers accusés en cas de maux de têtes chez les personnes les plus sensibles, les sulfites ont une fâcheuse tendance à figer le vin et à gommer son caractère. Un vin avec moins de sulfites vous permettra d’apprécier toute la typicité du terroir et déguster un breuvage plus authentique.
Un vrai bol de fruits rouges et une belle longueur à associer à l'apéritif sur une planche de fromage et de charcuterie lyonnaise.",https://vandb.fr/domaine-des-nugues-beaujolais-villages-sans-soufre-2018.html
CHÂTEAU GRAND BOSSUET LALANDE POMEROL 2018,ROUGE,LALANDE DE POMEROL,13.5,CHÂTEAU GRAND BOSSUET,FRANCE,13.5,6,6,6,6,Rubis profond,"Fruité frais, sous-bois","Plein, vigoureux, boisé","Viande rouge, Gibier, Ribs","Séparée de Pomerol par la rivière la Barbane, l'appellation Lalande de Pomerol n'a pas la renommée de sa prestigieuse voisine mais qu'a cela ne tienne, on y retrouve des vins avec une classe certaine et une élégance toute bordelaise.
Ce domaine appartient à la famille Petit, qui mène d'une main de maître ce domaine confidentiel (5 hectares) et s'emploie à faire de grands vins dans cette appellation pleine de potentiel.
Ce Lalande de Pomerol est un vin qui conjugue classe et caractère affirmé. Une cuvée qui voit passer une partie de son assemblage en barrique lui conférant une structure agréable et un joli potentiel de garde qui balance avec le fruité du vin.",https://vandb.fr/chateau-grand-bossuet-lalande-pomerol-2018.html
